step,wall_s,eval/episode_reward,eval/success_rate,eval/collision_rate,eval/avg_episode_length,eval/episode_collision,eval/episode_collision_std,eval/episode_reward_collision,eval/episode_reward_collision_std,eval/episode_reward_progress,eval/episode_reward_progress_std,eval/episode_reward_std,eval/episode_reward_success,eval/episode_reward_success_std,eval/episode_reward_time,eval/episode_reward_time_std,eval/episode_success,eval/episode_success_std,eval/epoch_eval_time,eval/sps,eval/std_episode_length,eval/walltime
0,53.17,-2.9445602893829346,0.0,0.96875,246.2734375,0.96875,0.17399263381958008,-0.96875,0.17399263381958008,-0.7444372177124023,0.6308647394180298,1.319832444190979,0.0,0.0,-1.2313719987869263,1.1801468133926392,0.0,0.0,23.15635871887207,5527.639364805746,236.02662658691406,23.15635871887207
819200,101.55,7.147965431213379,0.53125,0.4765625,104.2734375,0.4765625,0.4994503855705261,-0.4765625,0.4994503855705261,2.8333961963653564,1.2199759483337402,6.3004150390625,5.3125,4.990224838256836,-0.5213668346405029,0.25890201330184937,0.53125,0.4990224838256836,22.18613886833191,5769.368016654077,51.78043746948242,45.34249758720398
1638400,124.59,8.136404991149902,0.5859375,0.4140625,68.0625,0.4140625,0.49255937337875366,-0.4140625,0.49255937337875366,3.0314061641693115,1.2566176652908325,6.277226448059082,5.859375,4.925593852996826,-0.34031233191490173,0.13380354642868042,0.5859375,0.49255937337875366,0.7097127437591553,180354.65915691303,26.760730743408203,46.052210330963135
2457600,128.29,8.408191680908203,0.6015625,0.3984375,65.4296875,0.3984375,0.48957639932632446,-0.3984375,0.48957639932632446,3.1181540489196777,1.399206280708313,6.383272171020508,6.015625,4.895763874053955,-0.3271482586860657,0.14560836553573608,0.6015625,0.48957639932632446,0.7123942375183105,179675.7936250292,29.121694564819336,46.764604568481445
3276800,130.95,7.973723888397217,0.5625,0.4375,66.7890625,0.4375,0.49607837200164795,-0.4375,0.49607837200164795,3.120170831680298,1.2911248207092285,6.395275592803955,5.625,4.9607834815979,-0.3339451551437378,0.14015278220176697,0.5625,0.49607837200164795,0.7426252365112305,172361.50040002618,28.03057861328125,47.507229804992676
4096000,133.5,8.978628158569336,0.65625,0.34375,69.734375,0.34375,0.4749588668346405,-0.34375,0.4749588668346405,3.1085524559020996,1.331101655960083,6.197503566741943,6.5625,4.749588966369629,-0.34867170453071594,0.15728455781936646,0.65625,0.4749588668346405,0.8839800357818604,144799.6502395972,31.456933975219727,48.391209840774536
4915200,136.26,7.675085544586182,0.546875,0.4609375,69.6796875,0.4609375,0.49847179651260376,-0.4609375,0.49847179651260376,3.0156729221343994,1.322350263595581,6.338467597961426,5.46875,4.977978706359863,-0.34839826822280884,0.16895915567874908,0.546875,0.4977978765964508,0.9606659412384033,133240.90561074126,33.7918586730957,49.35187578201294
5734400,138.96,8.081116676330566,0.5859375,0.4140625,74.9140625,0.4140625,0.49255937337875366,-0.4140625,0.49255937337875366,3.0103759765625,1.1387807130813599,6.154329299926758,5.859375,4.925593852996826,-0.3745701014995575,0.15924249589443207,0.5859375,0.49255937337875366,0.7178959846496582,178298.81032482098,31.848527908325195,50.0697717666626
6553600,141.51,7.6265764236450195,0.5390625,0.4609375,68.4453125,0.4609375,0.49847179651260376,-0.4609375,0.49847179651260376,3.0391173362731934,1.4066282510757446,6.44264030456543,5.390625,4.984717845916748,-0.34222638607025146,0.1727304756641388,0.5390625,0.49847179651260376,0.7190043926239014,178023.94715960318,34.54612350463867,50.7887761592865
7372800,143.79,7.475070476531982,0.53125,0.46875,64.328125,0.46875,0.4990224838256836,-0.46875,0.4990224838256836,2.9529623985290527,1.3022149801254272,6.431884765625,5.3125,4.990224838256836,-0.3216404914855957,0.155816912651062,0.53125,0.4990224838256836,0.7072343826293945,180986.67590808385,31.16340446472168,51.496010541915894
